 [STATUS] 	Installation started 9/15/2022 2:56:29 PM...
 [Install] 	Appending strings to TLK file "C:\Users\angku\Saved Games\Star Wars - KotOR\dialog.tlk"
 [Install] 	dialog.tlk file updated with 34 new entries.
 [Install] 	Installing unmodified files...
 [Install] 	Copying file danm13.mod to the modules folder...
 [Install] 	Copying file danm14aa.mod to the modules folder...
 [Install] 	Copying file danm14ab.mod to the modules folder...
 [Install] 	Copying file danm14ac.mod to the modules folder...
 [Install] 	Copying file danm14ad.mod to the modules folder...
 [Install] 	Copying file danm15.mod to the modules folder...
 [Install] 	Copying file danm16.mod to the modules folder...
 [Install] 	Copying file ebo_m12aa.mod to the modules folder...
 [Install] 	Copying file ebo_m40ad.mod to the modules folder...
 [Install] 	Copying file ebo_m41aa.mod to the modules folder...
 [Install] 	Copying file end_m01aa.mod to the modules folder...
 [Install] 	Copying file kas_m22aa.mod to the modules folder...
 [Install] 	Copying file kas_m22ab.mod to the modules folder...
 [Install] 	Copying file kas_m23aa.mod to the modules folder...
 [Install] 	Copying file kas_m23ac.mod to the modules folder...
 [Install] 	Copying file kas_m23ad.mod to the modules folder...
 [Install] 	Copying file kas_m24aa.mod to the modules folder...
 [Install] 	Copying file kas_m25aa.mod to the modules folder...
 [Install] 	Copying file korr_m33aa.mod to the modules folder...
 [Install] 	Copying file korr_m33ab.mod to the modules folder...
 [Install] 	Copying file korr_m34aa.mod to the modules folder...
 [Install] 	Copying file korr_m35aa.mod to the modules folder...
 [Install] 	Copying file korr_m36aa.mod to the modules folder...
 [Install] 	Copying file korr_m37aa.mod to the modules folder...
 [Install] 	Copying file korr_m38aa.mod to the modules folder...
 [Install] 	Copying file korr_m38ab.mod to the modules folder...
 [Install] 	Copying file korr_m39aa.mod to the modules folder...
 [Install] 	Copying file lev_m40aa.mod to the modules folder...
 [Install] 	Copying file lev_m40ac.mod to the modules folder...
 [Install] 	Copying file lev_m40ad.mod to the modules folder...
 [Install] 	Copying file liv_m99aa.mod to the modules folder...
 [Install] 	Copying file M12ab.mod to the modules folder...
 [Install] 	Copying file manm26aa.mod to the modules folder...
 [Install] 	Copying file manm26ab.mod to the modules folder...
 [Install] 	Copying file manm26ac.mod to the modules folder...
 [Install] 	Copying file manm26ad.mod to the modules folder...
 [Install] 	Copying file manm26ae.mod to the modules folder...
 [Install] 	Copying file manm27aa.mod to the modules folder...
 [Install] 	Copying file manm28aa.mod to the modules folder...
 [Install] 	Copying file manm28ab.mod to the modules folder...
 [Install] 	Copying file manm28ac.mod to the modules folder...
 [Install] 	Copying file sta_m45aa.mod to the modules folder...
 [Install] 	Copying file sta_m45ab.mod to the modules folder...
 [Install] 	Copying file sta_m45ac.mod to the modules folder...
 [Install] 	Copying file STUNT_03a.mod to the modules folder...
 [Install] 	Copying file STUNT_06.mod to the modules folder...
 [Install] 	Copying file STUNT_57.mod to the modules folder...
 [Install] 	Copying file tar_m02aa.mod to the modules folder...
 [Install] 	Copying file tar_m02ab.mod to the modules folder...
 [Install] 	Copying file tar_m02ac.mod to the modules folder...
 [Install] 	Copying file tar_m02ad.mod to the modules folder...
 [Install] 	Copying file tar_m02ae.mod to the modules folder...
 [Install] 	Copying file tar_m03aa.mod to the modules folder...
 [Install] 	Copying file tar_m03ab.mod to the modules folder...
 [Install] 	Copying file tar_m03ad.mod to the modules folder...
 [Install] 	Copying file tar_m03ae.mod to the modules folder...
 [Install] 	Copying file tar_m03af.mod to the modules folder...
 [Install] 	Copying file tar_m04aa.mod to the modules folder...
 [Install] 	Copying file tar_m05aa.mod to the modules folder...
 [Install] 	Copying file tar_m05ab.mod to the modules folder...
 [Install] 	Copying file tar_m08aa.mod to the modules folder...
 [Install] 	Copying file tar_m09aa.mod to the modules folder...
 [Install] 	Copying file tar_m10aa.mod to the modules folder...
 [Install] 	Copying file tar_m10ac.mod to the modules folder...
 [Install] 	Copying file tar_m11aa.mod to the modules folder...
 [Install] 	Copying file tat_m17aa.mod to the modules folder...
 [Install] 	Copying file tat_m17ab.mod to the modules folder...
 [Install] 	Copying file tat_m17ad.mod to the modules folder...
 [Install] 	Copying file tat_m17af.mod to the modules folder...
 [Install] 	Copying file tat_m17ag.mod to the modules folder...
 [Install] 	Copying file tat_m18aa.mod to the modules folder...
 [Install] 	Copying file tat_m18ab.mod to the modules folder...
 [Install] 	Copying file tat_m18ac.mod to the modules folder...
 [Install] 	Copying file tat_m20aa.mod to the modules folder...
 [Install] 	Copying file unk_m41aa.mod to the modules folder...
 [Install] 	Copying file unk_m41ad.mod to the modules folder...
 [Install] 	Copying file unk_m42aa.mod to the modules folder...
 [Install] 	Copying file unk_m43aa.mod to the modules folder...
 [Install] 	Copying file unk_m44aa.mod to the modules folder...
 [Install] 	Copying file unk_m44ab.mod to the modules folder...
 [Install] 	Copying file unk_m44ac.mod to the modules folder...
 [Install] 	Copying file tat_m17ac.mod to the modules folder...
 [Install] 	Copying file ebo_m40aa.mod to the modules folder...
 [Install] 	Copying file STUNT_50a.mod to the modules folder...
 [Install] 	Copying file STUNT_12.mod to the modules folder...
 [Install] 	Copying file lev_m40ab.mod to the modules folder...
 [Install] 	Copying file tar_m02af.mod to the modules folder...
 [Install] 	Copying file STUNT_55a.mod to the modules folder...
 [Install] 	Copying file unk_m41ac.mod to the modules folder...
 [Install] 	Copying file c_hutt.mdl to the Override folder...
